# Exportado em: 2025-10-01T19:22:36.811919
# Período: 2025-09-01 a 2025-10-01
# Total de runs: 28

id,project_id,engine_id,status,im_seo_score,im_seoia_score,eeat_score,core_web_vitals_score,irzc_score,share_of_voice_serp,serp_features_presence,ctr_expected,ctr_real,ctr_ratio,response_type,brand_positioning,started_at,finished_at
run_4cd93077,prj_9c721751,eng_a1ebf86c,completed,56.0,48.75,75.0,75.0,50.0,100.0,100.0,15.0,,,,,2025-09-30T20:26:16.464313,2025-09-30T20:27:41.244385
run_b5898197,prj_9c721751,eng_d9b82187,completed,46.25,45.44,31.25,75.0,60.0,55.0,,8.0,,,,,2025-09-30T20:33:49.555748,2025-09-30T20:33:58.741925
run_7f9a2780,prj_9c721751,eng_11111032,completed,18.75,30.12,17.5,75.0,50.0,0.0,,15.0,,,,,2025-09-30T20:34:00.634844,2025-09-30T20:34:00.807357
run_8e5910ca,prj_9c721751,eng_c8d85294,completed,47.5,53.38,32.5,75.0,30.0,90.0,90.0,15.0,,,,,2025-09-30T21:05:53.107763,2025-09-30T21:05:58.184082
run_71b35e6f,prj_9c721751,eng_28ca3b05,completed,51.0,54.12,37.5,75.0,0.0,90.0,90.0,15.0,,,,,2025-09-30T21:12:45.706056,2025-09-30T21:12:47.843638
run_38971add,prj_9c721751,eng_0fa00cad,completed,51.0,55.81,48.75,75.0,0.0,90.0,90.0,15.0,,,,,2025-09-30T21:18:39.154649,2025-09-30T21:18:42.037793
run_58e4887f,prj_9c721751,eng_b5defac4,completed,52.0,55.88,32.5,75.0,10.0,90.0,90.0,15.0,,,,,2025-09-30T21:19:02.344426,2025-09-30T21:19:11.311683
run_60073db0,prj_9c721751,eng_b473c9f0,completed,51.0,56.19,51.25,75.0,0.0,90.0,90.0,15.0,,,,,2025-09-30T21:19:10.204343,2025-09-30T21:19:12.304637
run_920b321d,prj_9c721751,eng_c39e79fb,completed,51.0,58.88,52.5,75.0,0.0,90.0,90.0,15.0,,,,,2025-09-30T21:26:04.377238,2025-09-30T21:26:08.854160
run_497d115f,prj_9c721751,eng_3fcadd99,completed,51.0,59.25,55.0,75.0,0.0,90.0,90.0,15.0,,,,,2025-09-30T21:26:12.178702,2025-09-30T21:26:24.014996
run_90f09b35,prj_9c721751,eng_5b3003a3,completed,52.0,54.31,38.75,75.0,10.0,90.0,90.0,15.0,,,,,2025-09-30T21:28:38.626345,2025-09-30T21:28:44.777044
run_5933c9f8,prj_9c721751,eng_e61f25dd,completed,52.0,55.44,46.25,75.0,0.0,90.0,90.0,15.0,,,,,2025-09-30T21:28:43.858421,2025-09-30T21:28:57.587025
